config_id,clock_period,buffer_algorithm,sharing,disable_lsq,fast_token_delivery,success,compile_ok,hdl_ok,compile_time_s,num_components,num_buffers,num_handshake_ops,error_type,benchmark
0,3,on-merges,False,False,False,True,True,True,15.69,41,6,123,none,fir
1,3,on-merges,False,False,True,True,True,True,14.83,38,6,122,none,fir
2,3,on-merges,False,True,False,True,True,True,15.71,41,6,123,none,fir
3,3,on-merges,False,True,True,True,True,True,14.81,38,6,122,none,fir
4,3,on-merges,True,False,False,True,True,True,15.72,41,6,123,none,fir
5,3,on-merges,True,False,True,True,True,True,14.79,38,6,122,none,fir
24,4,on-merges,False,False,False,True,True,True,15.69,41,6,123,none,fir
25,4,on-merges,False,False,True,True,True,True,14.84,38,6,122,none,fir
26,4,on-merges,False,True,False,True,True,True,15.77,41,6,123,none,fir
27,4,on-merges,False,True,True,True,True,True,14.81,38,6,122,none,fir
28,4,on-merges,True,False,False,True,True,True,15.68,41,6,123,none,fir
29,4,on-merges,True,False,True,True,True,True,14.87,38,6,122,none,fir
32,4,fpga20,False,False,False,True,True,True,22.83,43,8,123,none,fir
33,4,fpga20,False,False,True,True,True,True,21.35,38,6,120,none,fir
34,4,fpga20,False,True,False,True,True,True,22.84,43,8,123,none,fir
35,4,fpga20,False,True,True,True,True,True,21.34,38,6,120,none,fir
36,4,fpga20,True,False,False,True,True,True,22.83,43,8,123,none,fir
37,4,fpga20,True,False,True,True,True,True,21.49,38,6,120,none,fir
40,4,fpl22,False,False,False,False,False,False,60.03,0,0,0,timeout,fir
41,4,fpl22,False,False,True,True,True,True,47.3,40,8,132,none,fir
42,4,fpl22,False,True,False,False,False,False,60.03,0,0,0,timeout,fir
43,4,fpl22,False,True,True,True,True,True,47.67,40,8,132,none,fir
44,4,fpl22,True,False,False,False,False,False,60.03,0,0,0,timeout,fir
45,4,fpl22,True,False,True,True,True,True,47.86,40,8,132,none,fir
48,5,on-merges,False,False,False,True,True,True,15.78,41,6,123,none,fir
49,5,on-merges,False,False,True,True,True,True,14.85,38,6,122,none,fir
50,5,on-merges,False,True,False,True,True,True,15.67,41,6,123,none,fir
51,5,on-merges,False,True,True,True,True,True,14.8,38,6,122,none,fir
52,5,on-merges,True,False,False,True,True,True,15.71,41,6,123,none,fir
53,5,on-merges,True,False,True,True,True,True,14.82,38,6,122,none,fir
